id,member,contextStrings,affinity1,dialogKey1,affinity2,dialogKey2,affinity3,dialogKey3,dialogString1,dialogString2,dialogString3
11020719-28,Suga,"[""Ahem..."",""=But now that we've received an award it really is pretty nice""]",56,SMS_M_Suga_64_05_01,80,SMS_M_Suga_64_06_01,104,SMS_M_Suga_64_07_01,This is only the beginning,Let's have a party to celebrate!,How happy?
11021122-11,Suga,"[""Who knew my solo track lyrics"",""vI'm sure everyone has something or someone like that... Did you have a <color=#42b7fe>First Love</color> too, Manager?""]",208,SMS_M_Suga_103_02_01,160,SMS_M_Suga_103_03_01,112,SMS_M_Suga_103_04_01,BTS,Finding what I wanted to do,Just somebody
11030112-8,J-Hope,"[""I called on accident..."",""What did you hear me say? T_T""]",208,SMS_M_J-hope_05_02_01,160,SMS_M_J-hope_05_03_01,112,SMS_M_J-hope_05_04_01,From the beginning.,;The part where you were saying Fighting!' to yourself.,"Psh, I heard nothing!"
11030705-6,J-Hope,"[""Manager!"",""{Shall we walk and view the neighborhood? It looks amazing, the weather's really nice, and walking is great for your health!""]",104,SMS_M_J-hope_55_02_01,80,SMS_M_J-hope_55_03_01,56,SMS_M_J-hope_55_04_01,Okay sure!,!Right now? Even though it's dark?,Neighborhood?
11030705-17,J-Hope,"[""Manager!"",""Can you... send it to me?""]",80,SMS_M_J-hope_55_05_01,104,SMS_M_J-hope_55_06_01,56,SMS_M_J-hope_55_07_01,Of course I can!,No!,I deleted it
11040104-2,RM,"[""Hello. This is Kim Namjun.""]",56,SMS_M_RM_01_02_01,104,SMS_M_RM_01_03_01,80,SMS_M_RM_01_04_01,How'd you get my number?,Are you really Kim Namjun?,This isn't a dream... Right?
11040104-9,RM,"[""Hello. This is Kim Namjun."",""KThe employee person told me I should text and call this number from now on.""]",104,SMS_M_RM_01_05_01,80,SMS_M_RM_01_06_01,56,SMS_M_RM_01_07_01,",I guess I am their replacement, after all...",$Are you sure this isn't a mistake?,&Does that mean I can keep texting you?
11040217-5,RM,"[""Manager... Are you sleeping?"",""!Taehyung must've felt terrible.""]",56,SMS_M_RM_20_02_01,80,SMS_M_RM_20_03_01,104,SMS_M_RM_20_04_01,He didn't look too happy.,He looked okay?,"6Namjun, you look like you're having a hard time too."
11040217-19,RM,"[""Manager... Are you sleeping?"",""+What can I do to make Taehyung feel better?""]",104,SMS_M_RM_20_05_01,80,SMS_M_RM_20_06_01,56,SMS_M_RM_20_07_01,How about a sincere apology?,Buy him a burger combo?,AInclude glass mentality <color=#42b7fe>boy</color> in the lyrics.
11040906-7,RM,"[""SThe Most Beautiful Moment in Life: Hwa-yang-yeon-hwa, a flower in its prime. Youth."",""Woooooo""]",208,SMS_M_RM_79_02_01,160,SMS_M_RM_79_03_01,112,SMS_M_RM_79_04_01,Calm down,So cool,*Did you get a lot of production work done?
11050119-3,Jimin,"[""Jimin, is your knee okay?"",""8I put on the band-aid you gave me Manager Thank you hehe""]",56,SMS_M_Jimin_10_02_01,80,SMS_M_Jimin_10_03_01,104,SMS_M_Jimin_10_04_01,Be careful next time.,!Let's go to the emergency room!,Stop getting hurt...
11050119-16,Jimin,"[""Jimin, is your knee okay?"",""=Let me know if there's anything I can do for you in return!""]",104,SMS_M_Jimin_10_05_01,80,SMS_M_Jimin_10_06_01,0,0,Nah... It's okay!,"Oooh, really?",
11051118-7,Jimin,"[""Life is so unfair Manager T_T"",""Land they keep saying they saw me go into the practice room when I didn't T_T""]",160,SMS_M_Jimin_101_02_01,112,SMS_M_Jimin_101_03_01,208,SMS_M_Jimin_101_04_01,Liar!,Are you upset?,It's a compliment!
11060519-9,V,"[""T_T"",""T____________T""]",160,SMS_M_V_44_02_01,208,SMS_M_V_44_03_01,112,SMS_M_V_44_04_01,What were you doing?,You can do it next time,The bus is long gone
11060713-5,V,"[""Is your coughcough okay?"",""You kept coughing, coughcough""]",80,SMS_M_V_62_02_01,56,SMS_M_V_62_03_01,104,SMS_M_V_62_04_01,Oh no you found me out,I'm not sick!,C...ough COUGH
11060713-40,V,"[""Is your coughcough okay?"",""""]",104,SMS_M_V_62_05_01,80,SMS_M_V_62_06_01,56,SMS_M_V_62_07_01,Medicine?,Snacks?,Money?
11060812-6,V,"[""\""Do we have coffee in the dorm? T_T"",""...talking?""]",160,SMS_M_V_72_02_01,112,SMS_M_V_72_03_01,208,SMS_M_V_72_04_01,Maybe it's a ghost?,Thieves?,Was it Jeongguk?
11070305-5,Jungkook,"[""Manager."",""It was fun hehe""]",80,SMS_M_Jungkook_23_02_01,56,SMS_M_Jungkook_23_03_01,104,SMS_M_Jungkook_23_04_01,%Are you sure you weren't surprised?,"Psh, you did fall for it!",I'm happy that you had fun!
11070305-12,Jungkook,"[""Manager."",""8I was able to shake it off thanks to you and the hyungs.""]",104,SMS_M_Jungkook_23_05_01,80,SMS_M_Jungkook_23_06_01,56,SMS_M_Jungkook_23_07_01,Why are you sorry?,So is it time to go record?,The hyungs or me?
11070611-10,Jungkook,"[""Jeongguk"",""That's shocking.""]",104,SMS_M_Jungkook_48_02_01,80,SMS_M_Jungkook_48_03_01,0,0,You've grown!,You're becoming an adult!,
11070611-22,Jungkook,"[""Jeongguk"","")Do you really want me to grow up so fast?""]",104,SMS_M_Jungkook_48_05_01,80,SMS_M_Jungkook_48_06_01,0,0,No.....,Yes!!!!!,
11070712-5,Jungkook,"[""Manager"",""I know why!""]",104,SMS_M_Jungkook_60_02_01,80,SMS_M_Jungkook_60_03_01,0,0,&It's because of the year-end show huh?,You napped a lot earlier!,
11070712-15,Jungkook,"[""Manager"",""1When you and Seok Jin hyung were talking, Manager""]",104,SMS_M_Jungkook_60_05_01,80,SMS_M_Jungkook_60_06_01,0,0,&How come you pretended to be sleeping?,Were you eavesdropping?,
11070804-5,Jungkook,"["".""]",112,SMS_M_Jungkook_68_02_01,160,SMS_M_Jungkook_68_03_01,208,SMS_M_Jungkook_68_04_01,I know what you mean,Stop it with the periods!,.
11071114-4,Jungkook,"[""The hyungs keep"",""How do I answer? T_T""]",112,SMS_M_Jungkook_99_02_01,160,SMS_M_Jungkook_99_03_01,208,SMS_M_Jungkook_99_04_01,Pick someone!,Say that it's all of them,%Say you're not influenced by anyone
31015001-5,Jin,"[""Manager, how are you"",""<I'm always chivalrous. Let me blow you a kiss to remind you.""]",104,SMS_5S_Jin_01_02_01,56,SMS_5S_Jin_01_03_01,80,SMS_5S_Jin_01_04_01,What is this?,Did you do something wrong?,"I mean, yes, I am."
31015001-21,Jin,"[""Manager, how are you"",""\""Answer me when is my birthday? ^_^""]",80,SMS_5S_Jin_01_05_01,80,SMS_5S_Jin_01_06_01,104,SMS_5S_Jin_01_07_01,September 1st,October 13th,December 4th
31015002-6,Jin,"[""Manager hey Manager"",""""]",80,SMS_5S_Jin_03_02_01,104,SMS_5S_Jin_03_03_01,56,SMS_5S_Jin_03_04_01,What's this?,So handsome.,I'm dizzy.
31015002-15,Jin,"[""Manager hey Manager"",""This is soooo fun""]",80,SMS_5S_Jin_03_05_01,104,SMS_5S_Jin_03_06_01,0,0,This is no jams.,I agree.,
31015003-7,Jin,"[""Brrrrrr..."",""!I'm at the ski resort right now""]",80,SMS_5S_Jin_05_02_01,104,SMS_5S_Jin_05_03_01,0,0,Lucky duck.,You know how to ski?,
31015003-14,Jin,"[""Brrrrrr..."",""Manager, do you know how to ski?""]",104,SMS_5S_Jin_05_05_01,80,SMS_5S_Jin_05_06_01,56,SMS_5S_Jin_05_07_01,I'm pretty good!,"No, I don't...",Skiing's ehh...
31015004-6,Jin,"[""Seok Jin"",""4I can't believe you're only texting me now cough""]",80,SMS_5S_Jin_07_02_01,56,SMS_5S_Jin_07_03_01,104,SMS_5S_Jin_07_04_01,Sorry...,Are you exaggerating?,Is it really that bad?
31015004-20,Jin,"[""Seok Jin"",""-Yep thanks to them I've been in bed all day""]",56,SMS_5S_Jin_07_05_01,104,SMS_5S_Jin_07_06_01,80,SMS_5S_Jin_07_07_01,You didn't practice at all?,Now I want that blanket.,You look too healthy!
31015006-3,Jin,"[""Manager"",""+What's your cell phone wallpaper right now?""]",104,SMS_5S_Jin_11_02_01,80,SMS_5S_Jin_11_03_01,56,SMS_5S_Jin_11_04_01,A picture of BTS,A photo of me,The default wallpaper
31015006-15,Jin,"[""Manager"",""Okay feel free to use those""]",104,SMS_5S_Jin_11_05_01,80,SMS_5S_Jin_11_06_01,56,SMS_5S_Jin_11_07_01,This feels like a trap?,Amazing!!,It's so pretty
31015007-13,Jin,"[""When'd you leave?"",""5So I'm worried that you might have seen them ^^;;;;""]",56,SMS_5S_Jin_13_02_01,80,SMS_5S_Jin_13_03_01,104,SMS_5S_Jin_13_04_01,You were pretty calm.,You were singing.,You were calling my name!
31015007-28,Jin,"[""When'd you leave?"",""OWhen I'm around someone I'm comfortable with, I can fall asleep more easily""]",80,SMS_5S_Jin_13_05_01,56,SMS_5S_Jin_13_06_01,104,SMS_5S_Jin_13_07_01,I'm really glad,I can say the same,I don't like being comfortable
31015008-9,Jin,"[""Sniffff sniff"",""%I'm looking desperately for them...""]",56,SMS_5S_Jin_15_02_01,80,SMS_5S_Jin_15_03_01,104,SMS_5S_Jin_15_04_01,(I think I saw them in the practice room!,'I think I saw them in the Bangtan room!,I think they were in the car!
31015008-29,Jin,"[""Sniffff sniff"",""Well, enjoy them haha""]",104,SMS_5S_Jin_15_05_01,80,SMS_5S_Jin_15_06_01,56,SMS_5S_Jin_15_07_01,I'll try to adjust to the pain,No it's okay,Couple shoes?
31015009-4,Jin,"[""Kim Seok Jin asks:"",""Please choose""]",104,SMS_5S_Jin_17_02_01,80,SMS_5S_Jin_17_03_01,0,0,6<color=#42b7fe>Yes</color>!! I am good at keeping them,8<color=#42b7fe>No</color>!! I can't keep my mouth shut,
31015009-24,Jin,"[""Kim Seok Jin asks:"",""%Hahaha I was expecting something else""]",104,SMS_5S_Jin_17_05_01,56,SMS_5S_Jin_17_06_01,80,SMS_5S_Jin_17_07_01,Alright go tell him,Well just act clueless,Buy the same ones
31015010-3,Jin,"[""[The Benefits of Bananas]"",""1. Rich in Potassium and good for high blood pressure 2. Stimulates production of Serotonin, making it good for depression 3. Rich in fiber, good for the digestive system""]",80,SMS_5S_Jin_09_02_01,104,SMS_5S_Jin_09_03_01,56,SMS_5S_Jin_09_04_01,?????,Thanks for letting me know...,You want me to buy you bananas?
31015010-19,Jin,"[""[The Benefits of Bananas]"",""-Mistakes like this make me more human you see""]",80,SMS_5S_Jin_09_05_01,104,SMS_5S_Jin_09_06_01,56,SMS_5S_Jin_09_07_01,Return them!,Time to buckle down and eat them,$When are we going to eat them all...
31015011-20,Jin,"[""Manager"",""XSoooo since it's summer and hot outside, I'll turn on cold handsome guy mode for you""]",160,SMS_5S_Jin_19_02_01,208,SMS_5S_Jin_19_03_01,112,SMS_5S_Jin_19_04_01,",How about handsome with a great personality?",I feel colder already,Hahaha what the...?
31015012-4,Jin,"[""Manager, were you by any chance"",""on the table in the dorm?""]",160,SMS_5S_Jin_23_02_01,208,SMS_5S_Jin_23_03_01,112,SMS_5S_Jin_23_04_01,"Yes, it was me",Nope,I don't remember
31015013-2,Jin,"[""O[BT Express] Your package (Tracking no. 20130613710) is out for delivery today.""]",160,SMS_5S_Jin_21_02_01,208,SMS_5S_Jin_21_03_01,112,0,I'm blocking this spam,Arrival window?,
31015014-14,Jin,"[""If I say that"",""If I really must choose...""]",160,SMS_5S_Jin_25_02_01,112,SMS_5S_Jin_25_03_01,208,SMS_5S_Jin_25_04_01,Dark hair,Vibrant rainbow shades,Don't do it
31015015-10,Jin,"[""Manager you tricked me"",""That's because...""]",112,SMS_5S_Jin_27_02_01,208,SMS_5S_Jin_27_03_01,160,SMS_5S_Jin_27_04_01,#You're the scarediest scaredy cat,You stand out,I told them to
31015016-9,Jin,"[""Have you seen it?"",""&Why do you always take him everywhere?""]",160,SMS_5S_Jin_29_02_01,112,SMS_5S_Jin_29_03_01,208,SMS_5S_Jin_29_04_01,Do you feel anxious?,Is it a habit?,Is it because you love yourself?
31015017-4,Jin,"[""Autumn is the season for ___"",""(What? Right now? Uhhhhh Autumn is for...""]",160,SMS_5S_Jin_31_02_01,112,SMS_5S_Jin_31_03_01,208,SMS_5S_Jin_31_04_01,Sardines,Guitar!,Kim Seok Jin
31015018-8,Jin,"[""Congratulations"",""What's in it for me if I go?""]",160,SMS_5S_Jin_33_02_01,112,SMS_5S_Jin_33_03_01,208,SMS_5S_Jin_33_04_01,An idyllic time?,Fishing tips?,A handsome fisherman?
31015019-10,Jin,"[""Manager"",""3It sounds like you have some plans in mind, Manager""]",160,SMS_5S_Jin_35_02_01,208,SMS_5S_Jin_35_03_01,112,SMS_5S_Jin_35_04_01,Gotta go out and have fun,I don't go out,It's a secret
31025001-8,Suga,"[""O Master Sage Min Yunki"",""lol""]",80,SMS_5S_Suga_01_02_01,104,SMS_5S_Suga_01_03_01,56,SMS_5S_Suga_01_04_01,What are you even bad at?,So shameless!,Not that amazing...
31025001-19,Suga,"[""O Master Sage Min Yunki"",""Stuff like that?""]",56,SMS_5S_Suga_01_05_01,80,SMS_5S_Suga_01_06_01,104,SMS_5S_Suga_01_07_01,That's all nonsense.,Sounds plausible?,"&Try guessing what I'm thinking, too!"
31025002-9,Suga,"[""'Sleep in on a clear, fine dust-free day"",""So I don't forget""]",56,SMS_5S_Suga_03_02_01,104,SMS_5S_Suga_03_03_01,80,SMS_5S_Suga_03_04_01,%Why are you writing that out here...?,I see... Okay.,2Okay! I'll make sure to remember and remind you!
31025002-23,Suga,"[""'Sleep in on a clear, fine dust-free day"",""Hmm am I thinking too small?""]",56,SMS_5S_Suga_03_05_01,104,SMS_5S_Suga_03_06_01,80,SMS_5S_Suga_03_07_01,You're thinking a little small.,Not at all!,"""I hope these make you feel better."
31025003-8,Suga,"[""Why'd you do that to me"","",and all we needed to do was simple movements""]",80,SMS_5S_Suga_05_02_01,104,SMS_5S_Suga_05_03_01,56,SMS_5S_Suga_05_04_01,I'm so sorry...,You fell perfectly into my trap.,That was completely my fault.
31025003-20,Suga,"[""Why'd you do that to me"",""""]",56,SMS_5S_Suga_05_05_01,104,SMS_5S_Suga_05_06_01,80,SMS_5S_Suga_05_07_01,Isn't that a wet wipe?,"Don't cry, just get stronger.","""Somehow that just hurts me more..."
31025004-6,Suga,"[""'I've received some new information..."",""Says who?""]",56,SMS_5S_Suga_07_02_01,80,SMS_5S_Suga_07_03_01,104,SMS_5S_Suga_07_04_01,I can't tell you.,It was...,Says me!
31025004-16,Suga,"[""'I've received some new information..."",""%That was me enjoying my food shupshup""]",80,SMS_5S_Suga_07_05_01,104,SMS_5S_Suga_07_06_01,0,0,That's good to hear...,I'm still worried...,
31025006-8,Suga,"[""Yunki are you busy?"",""And guess what he said""]",80,SMS_5S_Suga_11_02_01,104,SMS_5S_Suga_11_03_01,56,SMS_5S_Suga_11_04_01,Did he ask you to make him food?,!Did he ask to sleep in your room?,&Did he ask you to go out and have fun?
31025006-24,Suga,"[""Yunki are you busy?"",""SI'm good working with my hands since I don't talk much, so... I'm needed everywhere""]",80,SMS_5S_Suga_11_05_01,56,SMS_5S_Suga_11_06_01,104,SMS_5S_Suga_11_07_01,You don't talk... much?,That's what makes you so cool,"""Those are some very precious hands"
31025007-8,Suga,"[""Charging complete"",""About 22 hours""]",80,SMS_5S_Suga_09_02_01,56,SMS_5S_Suga_09_03_01,104,SMS_5S_Suga_09_04_01,A m a z i n g...,How's your fatigue?,Glad to hear you slept so well!
31025007-22,Suga,"[""Charging complete"",""&What the were you expecting something?""]",104,SMS_5S_Suga_09_05_01,56,SMS_5S_Suga_09_06_01,80,SMS_5S_Suga_09_07_01,I wasn't expecting anything.,I'm slightly disappointed.,"Yeah, I was!"
31025008-10,Suga,"[""You, Manager"",""?I'm asking just in case but you don't happen to know it do you?""]",104,SMS_5S_Suga_13_02_01,56,SMS_5S_Suga_13_03_01,80,SMS_5S_Suga_13_04_01,I do!,I don't know,Should I tell you
31025008-18,Suga,"[""You, Manager"",""Okay I will""]",56,SMS_5S_Suga_13_05_01,80,SMS_5S_Suga_13_06_01,104,SMS_5S_Suga_13_07_01,1234,2012,309
31025009-4,Suga,"[""I heard you're coming over"",""When you're on your way...""]",104,SMS_5S_Suga_15_02_01,80,SMS_5S_Suga_15_03_01,56,SMS_5S_Suga_15_04_01,Should I pick up a coffee?,Should I pick up some ice cream?,"""Should I pick up spicy rice cakes?"
31025009-12,Suga,"[""I heard you're coming over"",""You know my usual order right?""]",104,SMS_5S_Suga_15_05_01,80,SMS_5S_Suga_15_06_01,56,SMS_5S_Suga_15_07_01,Americano,Caff latte,Hovenia dulcis tea
31025010-9,Suga,"[""3You know earlier, when you were with Seok Jin hyung"",""Nah never mind it's okay""]",80,SMS_5S_Suga_17_02_01,104,SMS_5S_Suga_17_03_01,0,0,What is it?,Oh! I think I know,
31025010-20,Suga,"[""3You know earlier, when you were with Seok Jin hyung"",""So...""]",104,SMS_5S_Suga_17_05_01,56,SMS_5S_Suga_17_06_01,80,SMS_5S_Suga_17_07_01,Did you take a selfie?,'Did you practice rapping in the mirror?,Did you dance?
31025011-7,Suga,"[""[Summer Holiday Request]"",""Authorize it please, Manager""]",160,SMS_5S_Suga_19_02_01,112,SMS_5S_Suga_19_03_01,208,SMS_5S_Suga_19_04_01,Yes,No,!How'd you learn to format this?
31025012-19,Suga,"[""Did you know"","">You're going to become someone who's always on the move...""]",208,SMS_5S_Suga_23_02_01,160,SMS_5S_Suga_23_03_01,112,SMS_5S_Suga_23_04_01,I wanna tell him something too,You lie around often enough now,That's too harsh for a kid
31025013-17,Suga,"["",Do you happen to know the origin of Chuseok?"",""and rest up""]",208,SMS_5S_Suga_21_02_01,160,SMS_5S_Suga_21_03_01,112,SMS_5S_Suga_21_04_01,It was leisurely...,I worked...,What's a holiday break?
31025014-12,Suga,"[""0The lunchbox we ate at the practice room earlier"",""I try to follow this one rule""]",208,SMS_5S_Suga_25_02_01,112,SMS_5S_Suga_25_03_01,160,SMS_5S_Suga_25_04_01,Chewing silently?,Not eating too much?,Not eating too fast?
31025015-12,Suga,"[""Do you want to hear"",""Scary right""]",160,SMS_5S_Suga_27_02_01,208,SMS_5S_Suga_27_03_01,112,SMS_5S_Suga_27_04_01,Hey that was corny,Shiver,But it doesn't really matter
31025016-9,Suga,"[""Where have you disappeared to"","")Loool so you do need something huh Yunki?""]",160,SMS_5S_Suga_29_02_01,112,SMS_5S_Suga_29_03_01,208,SMS_5S_Suga_29_04_01,A neck pillow?,A bath bomb?,Sound equipment cables?
31025017-3,Suga,"[""Those leaves about to fall"",""Hanging insecure just like us""]",208,SMS_5S_Suga_31_02_01,160,SMS_5S_Suga_31_03_01,112,SMS_5S_Suga_31_04_01,"If I touch, even just once once",I want you to look into my eyes,9<color=#42b7fe>Fall Fall Fall</color> Everything scatters
31025018-15,Suga,"[""So I'm just wondering"",""9So there's a lot of things I do with them just by habit""]",208,SMS_5S_Suga_33_02_01,160,SMS_5S_Suga_33_03_01,112,SMS_5S_Suga_33_04_01,Do you pick at your nails?,Do your hands mirror each other?,#Do you lean your head on your hand?
31025019-5,Suga,"[""2Manager, it's somehow almost the end of the year"",""What about you, Manager?""]",208,SMS_5S_Suga_35_02_01,160,SMS_5S_Suga_35_03_01,112,SMS_5S_Suga_35_04_01,It feels like the holidays,It doesn't feel like it,What is the year-end feeling?
31035001-8,J-Hope,"[""Manager!"",""ODon't despair! Hoseoki's umbrella delivery service is on its way! Zoom zoom""]",80,SMS_5S_J-hope_01_02_01,104,SMS_5S_J-hope_01_03_01,0,0,"No, it's okay...",I'd appreciate that!,
31035001-17,J-Hope,"[""Manager!"",""6Okay? Ah you haven't caught a cold already have you?""]",56,SMS_5S_J-hope_01_05_01,104,SMS_5S_J-hope_01_06_01,80,SMS_5S_J-hope_01_07_01,I think I've caught a cold.,I'm strong!,%They say dummies don't catch colds!
31035002-7,J-Hope,"[""Manager hey Manager"","">How are we supposed to eat meat this early in the morning?????""]",104,SMS_5S_J-hope_03_02_01,56,SMS_5S_J-hope_03_03_01,80,SMS_5S_J-hope_03_04_01,"-Meat belongs in breakfast, lunch, and dinner!",Everyone else wants to eat it.,You don't like meat?
31035002-12,J-Hope,"[""Manager hey Manager"",""1You're not buying only meat right now, are you?""]",104,SMS_5S_J-hope_03_05_01,56,SMS_5S_J-hope_03_06_01,80,SMS_5S_J-hope_03_07_01,I'm only buying meat.,"I got dessert, too, obviously!","I bought veggies, too!"
31035003-5,J-Hope,"[""Dance practice again today?"",""Why did something come up?""]",104,SMS_5S_J-hope_05_02_01,56,SMS_5S_J-hope_05_03_01,80,SMS_5S_J-hope_05_04_01,I just wanted to see you.,I got worried.,Let's go eat!
31035003-14,J-Hope,"[""Dance practice again today?"",""+I can't fall asleep if I don't wash up!""]",56,SMS_5S_J-hope_05_05_01,104,SMS_5S_J-hope_05_06_01,80,SMS_5S_J-hope_05_07_01,'Why are you so serious all of a sudden?,"I know, I know!","Haha, don't lie!"
31035004-8,J-Hope,"[""9Hoseok are you feeling any better?? I heard you're sick"",""NNo energy... I look out the window a lot and I don't have an appetite either""]",104,SMS_5S_J-hope_07_02_01,80,SMS_5S_J-hope_07_03_01,56,SMS_5S_J-hope_07_04_01,Maybe you're homesick?,Maybe you're lovesick?,)Maybe you've bottled up too much anger?
31035004-21,J-Hope,"[""9Hoseok are you feeling any better?? I heard you're sick"",""$What am I supposed to do about this?""]",80,SMS_5S_J-hope_07_05_01,104,SMS_5S_J-hope_07_06_01,0,0,Go visit your hometown.,*We could all go to your hometown together?,
31035006-5,J-Hope,"[""%Manager! Manager!! Manaaaaaageeeeer!!"",""\""Think about your answer carefully!""]",80,SMS_5S_J-hope_09_02_01,56,SMS_5S_J-hope_09_03_01,104,SMS_5S_J-hope_09_04_01,My cell phone!,$Why would I be on a deserted island?,Necessities!
31035006-13,J-Hope,"[""%Manager! Manager!! Manaaaaaageeeeer!!"",""-I was hoping you'd say my name, actually...""]",104,SMS_5S_J-hope_09_05_01,80,SMS_5S_J-hope_09_06_01,56,SMS_5S_J-hope_09_07_01,"!Of course I'd take you, Hoseok!",You were hoping for that?,"Hoseok, you're a bit..."
31035007-3,J-Hope,"[""5It looks like you're not sleeping very well lately..."",""are you okay?""]",80,SMS_5S_J-hope_11_02_01,56,SMS_5S_J-hope_11_03_01,104,SMS_5S_J-hope_11_04_01,I'm okay,Nope I'm not okay,How'd you know?
31035007-15,J-Hope,"[""5It looks like you're not sleeping very well lately..."",""?how is it? listening to this should help you fall asleep right?""]",104,SMS_5S_J-hope_11_05_01,56,SMS_5S_J-hope_11_06_01,80,SMS_5S_J-hope_11_07_01,I think it will,Nope it's not helping,Will I be able to fall asleep?
31035008-5,J-Hope,"[""&Flowers live together in the flowerbed"","".Manager, what is your favorite kind of flower?""]",104,SMS_5S_J-hope_13_02_01,80,SMS_5S_J-hope_13_03_01,56,SMS_5S_J-hope_13_04_01,The Hobi flower!,All flowers!,I don't like flowers
31035008-14,J-Hope,"[""&Flowers live together in the flowerbed"",""Loool where are you right now?""]",80,SMS_5S_J-hope_13_05_01,56,SMS_5S_J-hope_13_06_01,104,SMS_5S_J-hope_13_07_01,"In your heart, Hoseok!",Right behind you!,Guess!
31035009-5,J-Hope,"[""I'm thinking about stuff lately"",""\""A complete 180! What do you think?""]",80,SMS_5S_J-hope_15_02_01,104,SMS_5S_J-hope_15_03_01,56,SMS_5S_J-hope_15_04_01,You're already good enough!,Great idea!,You're worrying over nothing.
31035009-10,J-Hope,"[""I'm thinking about stuff lately"",""\""Wait I just thought of a good idea""]",104,SMS_5S_J-hope_15_05_01,80,SMS_5S_J-hope_15_06_01,56,SMS_5S_J-hope_15_07_01,You should try singing,You should try acting,You should try MCing
31035010-5,J-Hope,"[""I'm at the dentist right now"",""Time isn't passing fast enough""]",104,SMS_5S_J-hope_17_02_01,80,SMS_5S_J-hope_17_03_01,56,SMS_5S_J-hope_17_04_01,I should have gone with you,Take deep breaths,Endure it
31035010-16,J-Hope,"[""I'm at the dentist right now"",""-Do you think it's going to be really painful?""]",104,SMS_5S_J-hope_17_05_01,56,SMS_5S_J-hope_17_06_01,80,SMS_5S_J-hope_17_07_01,It doesn't hurt that much,It hurts a lot,I'm not really sure
31035011-14,J-Hope,"[""Manager it's super hot hot hot"",""=Manager do you have any tips on kicking the heat to the curb?""]",160,SMS_5S_J-hope_19_02_01,208,SMS_5S_J-hope_19_03_01,112,SMS_5S_J-hope_19_04_01,A cold shower!,Fight fire with fire!,There are no tips
31035012-7,J-Hope,"[""Oh my"",""Hah""]",112,SMS_5S_J-hope_23_02_01,208,SMS_5S_J-hope_23_03_01,160,SMS_5S_J-hope_23_04_01,Was it fun?,Was it scary?,I wanna play too!
31035013-24,J-Hope,"[""Happy Chuseok, happy Chuseok!"",""?What should I do so other people will say I had a good holiday?""]",160,SMS_5S_J-hope_21_02_01,112,SMS_5S_J-hope_21_03_01,208,SMS_5S_J-hope_21_04_01,How about shopping?,Meet up with friends!,#How about doing some deep cleaning?
31035014-4,J-Hope,"[""Did you call?"",""and I just woke up @_@""]",160,SMS_5S_J-hope_25_02_01,208,SMS_5S_J-hope_25_03_01,112,SMS_5S_J-hope_25_04_01,Are you alright? T_T,+Yunki says he gave you a piggyback ride T_T,Did you get super carsick? T_T
